qiime2-ID	time	lat	lon	depth	Temperature_celsius	Salinity_psu	Chla_ugL	Run	Sample	ENA-BASE-COUNT	ENA-SPOT-COUNT	Size_frac_lower_uM	Size_frac_upper_uM	Cruise_name	Methods_and_data	prok_cells_10E05_per_ml
ANT285-st296-FL-20m	2012-04-11 12:00	-51.0557	-66.4633	20	8.1406	33.0005	0.397	ERR1102990	ERS948713	12524000	25250	0.2	3	ANT28-5	https://osf.io/g7xsj/	11.9
ANT285-st296-FL-40m	2012-04-11 12:00	-51.0557	-66.4633	40	8.1243	33.0021	0.364	ERR1102991	ERS948714	11065264	22309	0.2	3	ANT28-5	https://osf.io/g7xsj/	11.9
ANT285-st296-FL-60m	2012-04-11 12:00	-51.0557	-66.4633	60	8.0777	33.0078	0.329	ERR1102992	ERS948715	13850304	27924	0.2	3	ANT28-5	https://osf.io/g7xsj/	12.1
ANT285-st296-FL-100m	2012-04-11 12:00	-51.0557	-66.4633	100	8.0737	33.0087	0.369	ERR1102993	ERS948716	9493440	19140	0.2	3	ANT28-5	https://osf.io/g7xsj/	11.9
ANT285-st297-FL-20m	2012-04-12 12:00	-47.9412	-61.9227	20	10.3461	33.4922	0.565	ERR1102994	ERS948717	10597536	21366	0.2	3	ANT28-5	https://osf.io/g7xsj/	10.76
ANT285-st297-FL-40m	2012-04-12 12:00	-47.9412	-61.9227	40	9.7624	33.5756	0.352	ERR1102995	ERS948718	13684640	27590	0.2	3	ANT28-5	https://osf.io/g7xsj/	10.55
ANT285-st297-FL-60m	2012-04-12 12:00	-47.9412	-61.9227	60	8.2321	33.5577	0.076	ERR1102996	ERS948719	16693872	33657	0.2	3	ANT28-5	https://osf.io/g7xsj/	6.27
ANT285-st297-FL-100m	2012-04-12 12:00	-47.9412	-61.9227	100	6.1671	33.6264	0.01	ERR1102997	ERS948720	12581536	25366	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.14
ANT285-st298-FL-20m	2012-04-13 12:00	-45.0943	-58.1635	20	11.5468	34.0542	0.46	ERR1102998	ERS948721	14207424	28644	0.2	3	ANT28-5	https://osf.io/g7xsj/	11.2
ANT285-st298-FL-40m	2012-04-13 12:00	-45.0943	-58.1635	40	11.0191	34.0192	0.287	ERR1102999	ERS948722	14287280	28805	0.2	3	ANT28-5	https://osf.io/g7xsj/	11.4
ANT285-st298-FL-60m	2012-04-13 12:00	-45.0943	-58.1635	60	9.8878	33.9984	0.289	ERR1103000	ERS948723	16710736	33691	0.2	3	ANT28-5	https://osf.io/g7xsj/	8.54
ANT285-st298-FL-100m	2012-04-13 12:00	-45.0943	-58.1635	100	4.5381	33.9945	0.88	ERR1103001	ERS948724	11222992	22627	0.2	3	ANT28-5	https://osf.io/g7xsj/	3.84
ANT285-st298-FL-200m	2012-04-13 12:00	-45.0943	-58.1635	200	2.6401	34.0522	0.008	ERR1103002	ERS948725	12427776	25056	0.2	3	ANT28-5	https://osf.io/g7xsj/	2.34
ANT285-st300-FL-20m	2012-04-15 12:00	-39.7982	-50.577	20	19.4843	35.3147	0.297	ERR1103003	ERS948726	10501808	21173	0.2	3	ANT28-5	https://osf.io/g7xsj/	7.23
ANT285-st300-FL-40m	2012-04-15 12:00	-39.7982	-50.577	40	20.4096	35.7692	0.357	ERR1103004	ERS948727	13325536	26866	0.2	3	ANT28-5	https://osf.io/g7xsj/	6.54
ANT285-st300-FL-60m	2012-04-15 12:00	-39.7982	-50.577	60	20.1638	35.7227	0.293	ERR1103005	ERS948728	11518608	23223	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.68
ANT285-st300-FL-100m	2012-04-15 12:00	-39.7982	-50.577	100	17.9377	35.6648	0.156	ERR1103006	ERS948729	6568528	13243	0.2	3	ANT28-5	https://osf.io/g7xsj/	3.78
ANT285-st300-FL-200m	2012-04-15 12:00	-39.7982	-50.577	200	15.6561	35.6315	0.017	ERR1103007	ERS948730	9875856	19911	0.2	3	ANT28-5	https://osf.io/g7xsj/	1.96
ANT285-st302-FL-20m	2012-04-15 12:00	-34.2385	-42.965	20	22.1354	35.8433	0.145253524100038	ERR1103008	ERS948731	15461312	31172	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.89
ANT285-st302-FL-40m	2012-04-17 12:00	-34.2385	-42.965	40	22.0009	35.8365	0.164716643151622	ERR1103009	ERS948732	13468384	27154	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.69
ANT285-st302-FL-60m	2012-04-17 12:00	-34.2385	-42.965	60	19.1143	35.8635	0.293759788644314	ERR1103010	ERS948733	15268864	30784	0.2	3	ANT28-5	https://osf.io/g7xsj/	3.62
ANT285-st302-FL-75m	2012-04-17 12:00	-34.2385	-42.965	75	17.8985	35.9067	0.357481507183061	ERR1103011	ERS948734	18530064	37359	0.2	3	ANT28-5	https://osf.io/g7xsj/	
ANT285-st302-FL-100m	2012-04-17 12:00	-34.2385	-42.965	100	16.7723	35.8273	0.126499609112526	ERR1103012	ERS948735	15425600	31100	0.2	3	ANT28-5	https://osf.io/g7xsj/	2.49
ANT285-st302-FL-200m	2012-04-17 12:00	-34.2385	-42.965	200	15.4926	35.6843	0.010339448723567	ERR1103013	ERS948736	16488032	33242	0.2	3	ANT28-5	https://osf.io/g7xsj/	1.82
ANT285-st304-FL-20m	2012-04-18 12:00	-30.9992	-38.9948	20	22.6333	35.7513	0.129485731487564	ERR1103014	ERS948737	26141184	52704	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.75
ANT285-st304-FL-40m	2012-04-18 12:00	-30.9992	-38.9948	40	22.3857	35.6741	0.147589098386228	ERR1103015	ERS948738	24619952	49637	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.52
ANT285-st304-FL-70m	2012-04-18 12:00	-30.9992	-38.9948	70	18.5791	35.9011	0.306226849560096	ERR1103016	ERS948739	29756528	59993	0.2	3	ANT28-5	https://osf.io/g7xsj/	2.51
ANT285-st304-FL-100m	2012-04-18 12:00	-30.9992	-38.9948	100	17.04	35.861	0.123326854089049	ERR1103017	ERS948740	29457440	59390	0.2	3	ANT28-5	https://osf.io/g7xsj/	1.5
ANT285-st304-FL-200m	2012-04-18 12:00	-30.9992	-38.9948	200	15.233	35.5957	0.002631520343002	ERR1103018	ERS948741	35158464	70884	0.2	3	ANT28-5	https://osf.io/g7xsj/	1.14
ANT285-st306-FL-20m	2012-04-19 12:00	-25.9983	-39.0007	20	25.9999	36.7662		ERR1103019	ERS948742	34998256	70561	0.2	3	ANT28-5	https://osf.io/g7xsj/	5.17
ANT285-st306-FL-40m	2012-04-19 12:00	-25.9983	-39.0007	40	25.9995	36.7657		ERR1103020	ERS948743	26973472	54382	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.99
ANT285-st306-FL-60m	2012-04-19 12:00	-25.9983	-39.0007	60	25.0496	36.7622		ERR1103021	ERS948744	32912576	66356	0.2	3	ANT28-5	https://osf.io/g7xsj/	5.07
ANT285-st306-FL-100m	2012-04-19 12:00	-25.9983	-39.0007	100	22.3247	36.8817		ERR1103022	ERS948745	30620560	61735	0.2	3	ANT28-5	https://osf.io/g7xsj/	1.93
ANT285-st306-FL-150m	2012-04-19 12:00	-25.9983	-39.0007	150	19.6619	36.3388		ERR1103023	ERS948746	27274048	54988	0.2	3	ANT28-5	https://osf.io/g7xsj/	
ANT285-st306-FL-200m	2012-04-19 12:00	-25.9983	-39.0007	200	17.1958	35.8555		ERR1103024	ERS948747	31161200	62825	0.2	3	ANT28-5	https://osf.io/g7xsj/	1.06
ANT285-st307-FL-20m	2012-04-20 12:00	-24.7537	-38.0183	20	26.5834	37.0697	0.116595014459824	ERR1103025	ERS948748	38569456	77761	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.85
ANT285-st307-FL-40m	2012-04-20 12:00	-24.7537	-38.0183	40	26.5726	37.0698	0.161573482733826	ERR1103026	ERS948749	32751872	66032	0.2	3	ANT28-5	https://osf.io/g7xsj/	4.52
ANT285-st307-FL-60m	2012-04-20 12:00	-24.7537	-38.0183	60	25.4363	37.2761	0.207858379546907	ERR1103027	ERS948750	37940528	76493	0.2	3	ANT28-5	https://osf.io/g7xsj/	5.37
